Card Number,Name,Difficulty,Photo Filenames,Time,Sets,Reps,Instructions
13,Ninja Glide,Easy,"ninja_glide_card0_v0.jpg; ninja_glide_card0_v1.jpg",null,03,15,"1 Kneel beside the Pilates Board in a tabletop position, placing both hands on the moving carriages positioned at the closer end of the board with elbows bent and aligned directly below your shoulders. 2 Keeping your back straight and torso stable, push the right carriage forward by extending your right arm until the elbow is fully straightened. 3 Hold briefly at the extended position, then pull the carriage back to the starting position. Follow by extending your left arm forward to perform the cyclic motion. 4 Repeat for the recommended number of repetitions, maintaining a smooth and controlled rhythm throughout."
14,KNEELING ROW,Easy,"kneeling_row_card1_v0.jpg; kneeling_row_card1_v1.jpg",null,null,null,"1 Kneel beside the Pilates Board with your glutes resting on your heels. Hold one handle in your right hand with an overhand grip, palm facing downward, and arm extended forward at chest height.
2 Keeping your back straight and torso stable, pull the handle backward by bending your elbow and squeezing your shoulder blade until your hand reaches close to your chest.
3 Hold briefly at the contraction, then slowly extend your arm forward to return to the starting position in a controlled motion.
4 Repeat for the recommended number of repetitions on both sides."
15,REVERSE FLY,Easy,"reverse_fly_card2_v0.jpg; reverse_fly_card2_v1.jpg",null,03,15,"1 Stand upright at the center of the Pilates Board with feet shoulder-width apart. Hold one handle in each hand with palms facing upward and elbows positioned close to your waist. 2 Keeping your core engaged and posture tall, open both arms outward in a wide arc while maintaining elbows at waist height. Squeeze your shoulder blades together as your arms extend to your sides. 3 Hold briefly at the open position, then slowly bring your arms back to the starting position in a controlled motion. 4 Repeat for the recommended number of repetitions."
16,UPRIGHT ROW,Easy,"upright_row_card3_v0.jpg; upright_row_card3_v1.jpg",null,null,null,"1 Stand at the center of the Pilates Board with feet hip-width apart. Hold one handle in each hand with an overhand grip, palms facing inward, so that the resistance bands cross in front of your body to form an ""X."" 2 Keeping your back straight and core engaged, pull both handles upward toward your chest by lifting your elbows out and upward until they reach shoulder height. 3 Hold briefly at the top, squeezing your shoulder blades together, then slowly lower the handles back to the starting position in a controlled motion. 4 Repeat for the recommended number of repetitions."
17,FOREARM SWEEP,Unknown,"forearm_sweep_card4_v0.jpg",Unknown,03,12,"1 INHALE
2 EXHALE"
39,HYDRANT KICKBACK,Medium,"hydrant_kickback_card5_v0.jpg; hydrant_kickback_card5_v1.jpg; hydrant_kickback_card5_v2.jpg",Unknown,03,12,"1 Get into a tabletop position on the Pilates Board with your hands placed firmly on the moving carriage positioned at one end of the board. Secure the resistance band around the sole of your left foot, attaching it to the hook closer to your upper body. 2 Keeping your core engaged and right knee grounded, lift your left knee outward while maintaining the bend until it reaches hip height. 3 Maintaining your posture, extend your left leg backward until it is fully straight in a controlled motion, keeping your hips stable. Hold briefly at the top, then slowly bend your knee to return to the starting position. 4 Repeat for the recommended number of repetitions on both sides."
40,LEG LIFT,Medium,"leg_lift_card6_v0.jpg; leg_lift_card6_v1.jpg",null,03,12,"1 Get into a tabletop position with your knees placed at the center of the Pilates Board and your forearms resting on the mat at the board's edge, directly under your shoulders. Loop the handle of the resistance band securely around the sole of your left foot, keeping your left leg fully extended and lifted slightly off the ground. 2 Keeping your back straight & core engaged, lift your left leg upward against the resistance until it reaches slightly above hip height while maintaining a straight knee. 3 Hold briefly at the top, then slowly lower your leg to return to the starting position with control. 4 Repeat for the recommended number of repetitions, then switch sides."
41,LEG CURL,Medium,"leg_curl_card7_v0.jpg; leg_curl_card7_v1.jpg",Unknown,03,12,"1 Get into a tabletop position with your knees placed at the center of the Pilates Board and your forearms resting on the mat at the board's edge, directly under your shoulders. Loop the handle of the resistance band securely around the sole of your left foot, keeping your left leg fully extended and lifted slightly off the ground. 2 Keeping your core engaged and hips stable, bend your left knee to draw your heel toward your glutes, maintaining resistance through the band. Avoid arching your back as you curl the leg. 3 Hold briefly at the top, then slowly extend your leg back to achieve the initial position. 4 Repeat for the recommended number of repetitions, then switch sides."
42,GLUTE KICKBACK,Medium,"glute_kickback_card8_v0.jpg; glute_kickback_card8_v1.jpg",Unknown,03,12,"1 Get into a tabletop position on the Pilates Board with your hands placed firmly on the moving carriage positioned at one end of the board. Secure the resistance band around the sole of your left foot, attached to the hook closer to your upper body.
2 Keeping your core engaged and right knee grounded, extend your left leg backward against the resistance until it is fully straight and aligned at hip height.
3 Hold briefly at the extended position, squeezing your glutes, then slowly bend your knee to return to the starting position.
4 Repeat for the recommended number of repetitions on both sides."
43,LEG CIRCLE,Medium,"leg_circle_card9_v0.jpg; leg_circle_card9_v1.jpg",Unknown,03,12,"1 Lie sideways on the Pilates Board with your lower arm resting comfortably on the moving carriage positioned at one end of the board, supporting your head with your palm. Extend both legs straight, one stacked over the other. Secure the resistance band around the sole of your top foot, attaching it to the hook closer to your upper body. 2 Keeping your core engaged, move your top leg upward in a smooth, controlled arc to trace a large vertical circle while keeping your lower leg relaxed on the board. 3 Maintain a consistent pace and smooth flow throughout as you continue the circles for the recommended number of repetitions. 4 Reverse the direction of the circles and perform the same number of repetitions on both sides."
44,LEG LENGTHEN,Hard,"leg_lengthen_card10_v0.jpg; leg_lengthen_card10_v1.jpg",null,null,recommended number of repetitions,"1 Lie sideways on the Pilates Board with your knees bent at a 90-degree angle & your lower arm resting on the moving carriage positioned at one end of the board. Support your head & upper body with your palm. Secure the resistance band around the sole of your top foot, attaching it to the hook closer to your upper body. 2 Keeping your core engaged & your top hand placed on your waist for balance, lift your top leg while maintaining the knee bent at a right angle until your thigh reaches hip height. 3 While keeping your upper thigh stationary, straighten your top knee forward, extending your leg fully. Hold briefly at full extension, then slowly bend your knee to return to the starting position. 4 Repeat for the recommended number of repetitions on both sides."
45,LEG DROP,Medium,"leg_drop_card11_v0.jpg; leg_drop_card11_v1.jpg",Unknown,03,10,"1 Lie down on the Pilates Board with your left leg fully extended upward and the resistance band securely looped around the sole of your left foot, attached to the hook closer to your upper body. Keep your right leg rested on the ground for stability, and arms relaxed by your sides. 2 Keeping your core engaged and right leg grounded, slowly lower your left leg downward against the resistance in a controlled motion until it hovers just above the ground. 3 Hold briefly at the bottom, then exhale and lift your left leg back up to return to the starting position. 4 Repeat for the recommended number of repetitions, on both sides."
46,CURTSY GLIDE,Hard,"curtsy_glide_card12_v0.jpg; curtsy_glide_card12_v1.jpg",null,03,recommended number of repetitions on both sides,"1 Stand beside the Pilates Board, facing away from it, with your left foot placed on the right side of the moving carriage positioned at the near end of the board, allowing your thighs to cross slightly. Keep your right foot grounded firmly on the left side of the board on the floor for stability. 2 Keeping your posture stable, glide your left foot backward and diagonally along the board in a controlled motion while bending your right knee into a curtsy lunge. Extend your arms forward for balance as your back leg straightens fully. 3 Hold briefly at the lowest point, then slowly glide the carriage forward to return to the starting position. 4 Repeat for the recommended number of repetitions on both sides."
47,LATERAL LUNGES,Easy,"lateral_lunges_card13_v0.jpg; lateral_lunges_card13_v1.jpg",Unknown,03,15,"1 Stand upright beside the Pilates Board with your left foot grounded on the mat and your right foot resting lightly on the moving carriage positioned at the closer end of the board. Keep your spine tall, core engaged, and arms relaxed by your sides. 2 Keeping your back straight and posture stable, glide your right foot outward along the carriage by bending your left knee. Simultaneously, lean your upper body slightly forward and raise both arms overhead in a controlled motion. 3 Hold briefly at the extended position, then slowly pull the carriage back to return to the starting position. 4 Repeat for the recommended number of repetitions, then switch sides."
48,CARRIAGE GLIDE,Easy,"carriage_glide_card14_v0.jpg; carriage_glide_card14_v1.jpg",Unknown,03,15,"1 Stand upright beside the Pilates Board with your left foot resting on the moving carriage positioned at the closer end of the board and your right foot placed behind you with the heel lifted off the ground. 2 Keeping your back straight and core engaged, lean your upper body slightly forward with both knees softly bent and hands resting on your waist. Now, slowly glide your left foot forward along the carriage until your left leg is nearly straight. 3 Hold briefly at the extended position, then slowly pull the carriage back to return to the starting position. 4 Repeat for the recommended number of repetitions, then switch sides."
49,TORSO TWIST,Unknown,"torso_twist_card15_v0.jpg",Unknown,03,15,"1 EXHALE, 2 INHALE"
